Sample,ZNF609,LOC283267,LOC653324,LOC100132510,LOC389286,LMTK3,LOC728602,LOC100130154,LOC100132728,LOC646821,LOC100128498,GPR68,CABIN1,LOC648740,PRKCA,ZNF148,LOC646949,LOC100130332,DYRK2,TMSB4X,P704P,SPOCK2,LOC653737,LOC400652,KDM1B,LOC730746,IGF2BP3,C14orf11,NPAT,HIPK2,CLEC12B,LOC654074,C1orf71,LOC440525,LOC727848,FCGR1C,TNIK,CCDC82,SNORD13,FAM26F,LOC389342,PIK3AP1,NUDT2,FCGR1B,PRIM2,PIK3CG,RNU4ATAC,LOC649330,LOC649839,MAST3,LOC645351,CARD16,SNORA12,LOC728310,LOC390876,LOC147804,LOC729687,LOC648343,LOC644037,GBP3,LOC729342,NDUFA5,LOC642076,LOC100130289,LOC648733,CTSL1,PKN2,C5orf41,BLNK,LOC647908,UHMK1,FCGR1A,SELPLG,LOC649801,LOC100130624,LOC642567,SNORD62B,LOC441032,LOC644642,D4S234E,LOC100129067,LOC728207,C9orf130,CARD17,LOC648863,DSC2,LOC100132425,PIK3IP1,BCL2A1,PPIB,CD274,LOC100132761,LOC402221,KLRB1,TLR5,RYBP,LOC100131718,CLEC12A,LOC439992,LOC646909,LOC651919,IRS2,IL7R,LOC100128460,VWF,MPL,TRA1P2,LOC100132199,CXorf21,MS4A2,PARP9,TYMP,IFI16,LOC391769,TTRAP,LOC647074,DDX3Y,LOC387934,SIDT2,TARP,JAM3,LOC728744,C14orf82,MIR1974,FCGR2C,MIR574,C11orf75,TNFAIP6,TMEM51,CRIP2,LOC643882,PSG9,C19orf59,LOC643779,LOC652113,GSTM2,LGALS3BP,SDPR,LOC642073,AIM2,USP6,LOC389386,IRF5,LOC648984,PLSCR1,NHLRC4,LOC643007,SERPING1,TMEM106A,NELL2,Condition
GSM1033105,6.610076075,7.3012582,7.286044729,8.232130918,7.444880888,6.249737694,7.728718125,11.1961171,5.898281081,7.72360126,7.124299822,6.112085651,7.400094099,8.045604142,7.698164168,9.277758824,8.611402065,5.4821739130000005,7.60800673575,11.091721230000001,9.352948559,10.77700284,10.562682979,7.935916049,6.91032271,8.268036614,8.093017989,8.310075271,6.830354749,7.263483235,5.515056414,8.560573661,9.683068808,8.464908698,7.267148573,8.119116451,6.377192707,6.689708114,8.850514905,10.0486512,12.19315093,10.62004438,7.2985351204999995,8.315038876500001,6.334097068,8.685889929,6.935215454,8.516698492,9.962284517,8.98613454,7.227617868,9.464451723333333,9.584377399,6.161934757,6.550576476,9.431502297,8.877136294,10.06032858,8.550282012,8.131191771,8.248598923,7.373307639,9.969066564,8.8368184930000009,6.079570852,6.529956969666666,8.568092795,10.081890389000002,7.627134481,6.739822278,6.632614387,8.502802966,7.166957862,8.955557656,8.286504002500001,10.76065604,6.553557348,6.672217308,8.382011575,6.835414665,8.054727599,7.13164136,8.247469818,6.5045176950000005,8.47096287,8.351777629,9.895402473,9.17157391,10.14517372,9.644413099,5.938104514,5.3400653975,11.2944283,11.26099928,8.562505131,9.496100469,10.53671855,8.071264725499999,6.749988707,9.71592394,8.019246103,8.450683189,9.867552894,7.446046741,6.506223033,7.924611437,9.676698607,9.271315568,8.0765678285,6.492776932,10.180709467,8.807751446000001,11.45733103,7.712519077,9.8691326135,8.023446354,8.034168502,8.238550677,9.752163359,8.378535749,7.798716686,6.389466749,7.268398961,10.61772699,7.217823154,8.157077233,8.318431876,8.952500959,5.930140572,6.540914899,7.247327048,7.667903805,8.722434547,8.59017415,8.458366924,6.8635727545,6.076131093,10.37030783,9.849641922,8.084173948,8.616318536,7.0309127845,5.835688510500001,8.253708937,8.474371507,7.106985185,10.38827542,6.50750458,9.207577748,8.906287304,ASD
GSM1033106,6.66052846,7.270981477,7.538848338,8.215510597,7.436093791,6.085868339,7.750818668499999,11.2628077,6.010080735,7.898190746,7.131398442,6.08215805,7.595864421,8.453644658,7.74807142,9.349485604,9.580893134,5.873781419,7.81968512725,11.408907791,9.578052448,11.04028675,10.588176682,8.553081739,7.296120103,8.744507777,7.278397422,8.443625519,7.078517261,7.100161373,5.687630766,9.034908585,9.776190769,8.198436068,7.482094906,6.965004036,6.829647294,7.028443388,9.278408209,10.47971456,12.193101785,10.36607127,7.404187933499999,7.255625105,6.448778952,8.65684078,6.811211646,8.698261876,10.59112056,9.172646493,7.382876792,9.193270751666667,9.750084155,6.471582473,7.143944404,9.483393101,9.301161177,11.10042001,9.072921759,7.886073412,8.872440421,7.732709177,9.958166316,8.92519571,6.390384429,6.519761629666666,8.579779749,10.074963764,7.636668089,6.811000774,6.507340065,6.974568297,6.932115101,8.916775932,8.798644123999999,10.57120349,6.862462801,7.209444643,8.771088909,7.13820408,8.537012472,7.540978433,8.558518524,5.9327550085,8.401194868,7.3491905985,9.719318183,9.673017593,9.442959151,8.658115832,5.197964343,5.818606452,11.64459301,10.94517686,7.854060181,9.566293625,11.2944283,8.03729427775,6.779932676,10.252716185,7.878789204,8.350362817,10.749607078499999,7.33092988,6.00503915,6.964523953,8.681152317,9.661116426,7.8442698155,6.139156057,8.9906541815,8.0981859705,10.82280154,7.147882837,9.544926590500001,8.355637147,8.740602288,7.865060681,9.613702269,7.952712632,7.524190536,5.671706957,7.355876821,10.56648512,6.709222488,8.156891397,8.685019476,7.243689318,6.247772964,6.388941128,7.991096926,7.011126054,8.135106906,8.952627942,7.081973025,7.563633491500001,6.366927147,9.891428348,9.770833676,6.910205088,8.229276708,6.4330283825,5.824328550500001,7.819994061,7.12302552,7.816202316,11.18887039,5.9285884945,9.752953497,9.053288115,ASD
GSM1033107,6.723434512,7.396299143,7.276368223,7.987634336,7.621435546,6.696857562,7.532994458,11.04817294,6.006680322,7.915037024,6.891145202,6.069929559,7.828057583,8.437679948,8.232130918,9.241306706,9.78827673,6.3384804765,8.186003423499999,11.089682466500001,9.34889606,11.64225432,11.1735504295,8.193445061,6.223339243,8.145251705,7.522213326,7.974296355,7.301000911,7.104549562,5.441794673,8.558922766,10.08007617,7.673559158,7.236431003,6.78756992,6.691811235,6.4614508409999996,9.043971751,9.818683125,12.487145125,10.18433881,7.166896208500001,7.038690918,6.085046563,8.728408033,7.072995485,8.680341872,10.49107144,8.911967543,7.114073692,8.601240927000001,9.657011781,6.253387196,7.369090476,9.043410832,8.943115895,10.82133624,9.0933966735,7.473375535,8.7137299595,7.456594042,9.34479693,8.349657403,5.987473692,6.786139960333333,8.453644658,9.905026131,7.133399337,6.576858211,6.420824332,6.822383471,7.128987639,8.920228726,9.071345237500001,10.05059931,6.967615547,7.082926406,8.389949537,7.100419268,8.401838669,7.821775906,8.553868764,5.8471335755,8.052419783,7.799125780000001,9.322969947,10.04967598,9.508367671,8.252300324,5.123474224,6.476653483,11.02634174,11.59910165,7.779290271,9.272344137,11.1744898,9.38079323775,6.497807236,10.35466354,7.081973025,8.428274817,11.17631274,7.471771144,6.325776266,7.744437398,8.581333225,9.748631542,7.0445665165,6.012530318,8.788992304,7.6987115645,10.54916391,7.139244345,9.367900568,8.334147361,8.532203309,7.541624435,9.326648485,8.407526498,7.608925875,5.284240244,6.825685016,9.304595131,7.14841561,6.560437192,8.439507103,7.4131974175,6.237806237,6.629964881,7.569962952,7.204792572,9.067692753,8.837737358,6.885987292,7.6359991035,6.177894288,9.833656579,9.278408209,7.0432251495000004,7.741596708,6.6483026395,6.3971363100000005,8.168494258,7.497194788,6.124593164,10.75141955,5.640387971999999,9.440587232,9.880040804,ASD
GSM1033108,6.816824832,7.270981477,7.603667038,8.160868308,7.362968213,6.363505592,7.7866724565,11.1995478,6.517239473,8.089905072,6.994473221,6.302886253,7.842864163,8.729347288,8.030650928,9.265367317,10.12021126,5.701500906,7.894930507000001,11.537262026,9.619406123,11.29250708,10.762739354,9.0688022,6.851912105,8.756502918,7.669866841,8.601307529,7.171201085,6.796577194,5.790383765,8.947669358,9.967361797,8.630066751,7.6269809445,6.647994849,6.578046445,6.973552807,9.223560538,9.996277099,12.366578885,10.15001566,7.1140824935,7.038849618,6.097412058,8.504722463,6.823270799,8.885901974,11.10200721,8.891083718,7.579039516,8.855921968333334,9.674490156,6.559043956,7.658024559,9.627801572,9.445524801,11.06058821,9.3316766285,7.792417455,8.9669019645,7.894774994,10.14698306,9.234852575,6.052785479,6.268052435666666,8.555406016,10.0077379345,7.546271331,7.431293127,6.463004012,6.789126275,6.898082613,9.373476267,8.992293667,10.76865421,6.943269926,7.865347841,8.500840313,6.975527986,9.253765087,8.02897395,8.53471813,5.9602217835,8.555032971,7.8329487485,9.880040804,9.810198251,10.28419396,9.042802764,5.052597668,5.3415539,11.47385009,11.60344386,7.688721581,9.130322233,11.11693658,9.3304391035,7.315016296,10.80422915,7.686374339,8.500076822,11.0766316135,7.395239876,5.930378847,7.76458576,9.028223061,9.92659728,7.654462749,6.214738185,8.634503548000001,7.946000955500001,10.48886699,7.491051859,9.876181846,8.650341236,8.848636727,8.159462767,8.98515354,8.31495169,7.789741314,5.607857918,7.432913301,9.556503876,6.953446713,8.188079245,8.067861053,7.458056039,6.165035997,6.349962757,7.724765246,7.138712675,8.870136551,9.296302669,6.452425933,7.493797947,6.249064235,9.894660041,9.555895899,7.0113371440000005,8.274160381,6.532400612,6.1130998165,8.091447575,7.449318346,6.199928462,11.44317474,5.671024616,9.648631221,9.942493654,ASD
GSM1033109,6.886902085,7.686374339,7.670998775,8.290778636,7.32387028,6.577452285,7.844326402,11.06971147,6.295683841,7.991096926,6.929969318,6.134526179,7.771037356,8.763861005,8.050200948,9.140197566,9.584377399,5.550947109,8.09162147125,11.4775360095,9.626343999,11.21342954,10.3252762925,8.903024982,7.186586753,8.870645279,7.793078518,8.373080351,7.300477862,7.114456285,5.887817369,8.810820353,10.15387342,8.26132883,7.523635263499999,6.958920182,6.790898911,7.075313219,8.498872713,10.08087619,11.9628150425,10.45832561,6.851309033,7.3647409825,6.058897368,8.598103425,6.251883843,8.761510347,10.70349809,9.26842323,7.388898754,8.634186180333334,9.218345925,6.621247845,7.19473537,9.531191462,8.935512172,11.10367233,9.149755891,8.436832,8.911766159999999,7.870348124,10.07832483,8.827634998,6.47587783,6.838180382333333,8.617903145,10.2539878575,7.542941957,7.397110379,6.578242895,7.053480899,7.143687007,9.246234513,8.707205862,10.86533376,7.000288259,7.484430999,8.694055158,6.91617875,8.590559131,7.474140619,8.5438278,5.9673940215000005,8.518710206,7.534859175999999,9.899470458,9.377719185,9.352948559,8.69534071,5.222132884,5.389607351,11.49786116,11.35862432,7.100161373,9.348331014,11.46341215,9.256121381,6.937687082,10.414083625,7.691716688,8.736319123,10.7362913485,7.529630178,5.761451224,7.885174748,8.991602561,9.672341834,7.692027412,5.629434662,9.232274589,7.9338403995,10.68335756,7.04234393,9.713934935,8.341318519,8.965354173,7.550990562,9.761833039,8.211489513,7.46263384,5.927342555,7.451320603,10.1576378,6.694729199,8.260677125,8.090223139,7.5039175205,6.130179391,6.204074312,7.59500066,7.088372305,8.651842628,9.220645465,6.616984871,6.791771774,6.578979593,10.37568928,9.984461451,6.843223929500001,8.575330586,6.8852935045,6.6993125525,7.253519631,6.929514099,6.056784052,11.25741597,5.7885121569999995,9.929947586,9.563688732,Control
GSM1033110,6.833869891,7.366206788,7.784271757,8.205783238,7.118960373,6.086644265,8.0094091965,11.38957825,6.359762048,8.100468689,7.152713484,6.003004693,7.795140068,8.993521292,7.918778673,9.259632544,10.11926183,5.6443670535,7.75509998125,11.7983320725,9.669651286,11.1590968,10.859067154,9.16599968,7.091644382,8.778882905,8.189108394,8.58526886,7.052296124,6.814831631,5.71135556,9.283852984,9.849641922,8.313079374,7.3825211385,6.196608009,6.625656968,7.432399287,9.445524801,10.67300973,12.45399359,10.53998828,6.841394083,6.6921341745,5.96899671,8.419302043,6.601704435,9.205495992,11.04817294,8.993962089,7.679748896,8.774646729666667,9.329766186,6.663211133,7.460681336,9.974007303,9.444219515,11.43073743,9.354898938,8.157631324,9.1184421955,8.203763089,10.33417236,9.288400503,6.201332766,6.634818367333334,8.22006072,9.8888062165,8.248484618,7.234240441,6.358826562,6.384169933,6.869992495,9.207117557,9.220802517,10.92880101,6.848520835,7.868807041,8.654778198,7.003600915,9.029271532,8.168123426,8.655542275,5.971271746499999,9.016481399,7.911601343999999,10.00800106,9.559761479,9.980920256,8.907191932,5.117443522,5.375970658,11.40138372,11.23556873,7.314471006,9.178665982,11.49346664,9.138500639,7.449572068,10.82057328,8.218607776,8.471652831,10.834138602,7.688109247,5.835965141,7.137674547,9.051744615,10.33533419,7.9656297765,6.307358997,8.8303203685,7.9025235915,10.41208953,7.382372096,9.828891912500001,8.84349981,8.982164101,8.018973607,9.609541792,7.962274789,7.089877704,5.459582603,7.616535717,9.700114038,6.653596791,8.242810949,8.007656722,8.1149233575,6.1003303,6.600899499,7.840690624,6.927225963,8.273767,9.539299864,7.777196396,7.8075469905,6.245431615,9.959079912,9.494120907,6.802958223999999,8.237834008,6.752964897,6.363482566,7.646258997,7.182996006,7.140692309,11.55542192,5.8275367185,10.03801923,9.448045717,Control
GSM1033111,6.754407043,7.483931769,7.520268446,8.143502484,7.193991027,6.434883921,7.866334096,11.41753157,6.38577399,8.016040512,6.849198883,6.110156904,7.736760786,8.742721793,7.872442499,9.433486743,9.282025297,5.709205906499999,7.6591074075,11.401423850499999,9.674490156,11.0920815,10.7213936515,8.651466112,6.90620812,8.562505131,7.701915717,8.409823879,7.006674361,7.174131479,6.041929696,8.873454686,9.78299777,8.328934414,7.1666377865,6.341492904,6.601530729,6.93089725,9.036549483,9.966589984,12.322176505,10.2203621,7.1844455205,6.6753549969999995,6.372529493,8.354895325,6.639645502,8.84013166,10.5813468,8.974102525,7.377943578,8.528678686333334,9.545633849,6.297919191,7.032713131,9.685983663,9.54068306,10.56430748,9.06697736,7.90774661,8.627011954,7.762401329,9.979286588,9.277164275,6.529046759,6.144082051333333,8.109858806,9.938654105,7.367010698,6.963507636,6.039880201,6.515475287,7.226604757,9.201576841,8.5830917915,10.69324256,6.777200839,7.39683475,8.357007951,7.270684559,8.615053487,7.353207534,8.494348108,5.965502196,9.060820234,8.2656151745,10.16714438,9.551149751,9.664692924,10.24791954,5.094140078,5.4299337649999995,11.36638922,11.49786116,7.45358757,8.731961772,10.76329368,9.153776799,7.024309284,10.38525833,7.712825487,8.723310278,10.6270843025,6.776523277,6.197092929,7.845896825,9.872850475,9.739078457,7.9501539885,6.099610544,8.750394624,7.213074861,10.557584,7.06341978,9.6191615165,8.230700154,8.51286775,8.55733039,8.69865028,7.956210248,7.240517705,5.421131779,6.87949928,10.01914498,6.666528831,8.387298308,7.986173731,7.417297326,6.025584788,6.338688573,7.590486932,6.866772854,8.259959718,9.061852388,8.148458666,7.8055783795,6.201833771,10.10449022,8.639663482,7.075269115,8.429428421,6.7726481475,5.848241378499999,7.278874383,6.9864608,6.796345872,10.79485188,5.783531184,9.480056745,9.009183079,ASD
GSM1033112,6.723434512,7.550990562,7.526963345,8.276776978,7.370437545,6.163339227,7.895865013,11.29077073,6.124756248,7.977237902,6.922983028,6.000789719,7.738268551,8.602519497,7.881780674,9.451216066,9.298769479,5.89244842,7.6266618712500005,11.356589614,9.502024297,10.92880101,10.7127007385,8.169520488,7.262720117,8.276086225,7.669589534,8.287419872,7.066431849,7.085415095,6.19886961,8.83445529,9.458907607,8.255756729,7.316497355,7.5558855,6.513911092,6.820418009,8.562505131,9.377120308,12.21903114,10.77964296,6.669481643999999,7.744979573,6.128921797,8.670877011,6.719745015,8.737533902,10.13246443,9.173223562,7.13392872,9.116567289,9.200460675,6.491677361,7.311603515,9.421407056,8.84105031,10.60594494,8.80950409,7.822076301,8.617597147,7.580424814,10.02523278,8.822470603,6.430132465,6.69955204,8.548799726,9.8511055455,7.278161953,6.831050861,6.057177706,7.577364422,7.470126192,8.967762537,8.700654996499999,10.68335756,6.547603086,7.513648029,8.318431876,6.976755905,8.264663764,7.512553632,8.437679948,6.0227026079999995,8.535477563,7.0603682160000005,9.68042059,9.365626994,10.02253676,8.512110691,5.33910798,5.595103712,11.4512698,11.0920815,7.803553908,9.396874577,10.97894149,9.69207574575,6.70731714,10.119318165,7.833699317,8.596451932,10.370517655,7.951140551,6.353158292,7.738538281,8.797106228,9.438818906,8.006476939999999,6.136718753,9.367298927,8.148502891,10.60950978,7.279600271,9.726329946,8.310075271,8.587817537,8.082778165,9.871198472,7.108877077,7.419519461,6.019916631,7.284188654,9.985258659,6.88620943,7.77165397,8.78682098,7.669739799,6.305137973,6.105374971,7.696180368,7.240278626,8.895768205,8.767983423,6.761956933,6.8510345545,6.356903661,10.08531366,10.02993739,7.406758909000001,8.330851466,6.671203317,6.681628356999999,8.123435149,7.263717085,6.927655245,10.74877676,5.970626093,9.537152669,8.766744428,Control
GSM1033113,6.74626573,7.546271331,7.48552892,7.831514985,7.0602884,6.788929904,7.8276976425,11.30227484,6.149939699,7.827171358,6.784520166,5.938468475,7.513071706,8.622313563,8.073503832,9.111035086,9.500675086,5.5935520325,8.09496511175,11.3730195975,9.564328253,11.41338912,10.6951203565,8.848181056,6.667338914,8.483743249,8.42905491,8.396101116,7.104811726,7.211229335,6.041528063,8.930211196,10.1767198,7.94169217,7.2789580905,6.687205622,6.936106235,7.024552816,9.305215492,9.865305397,12.290107814999999,10.39638411,7.3318139205,7.029831621,6.048367141,8.315290692,6.316668478,8.604988108,10.56887799,8.860694314,7.108644662,8.872374625666666,8.928671061,6.386837442,7.338581989,9.823435625,9.304037983,10.90605449,9.116862648000001,7.72360126,8.9417321965,7.718068536,10.28512281,8.878992985,6.11510208,6.909645129333334,8.224235123,9.8730725615,7.570406732,6.900813495,6.537458156,6.801478011,7.216198209,9.184141496,8.861148698500001,10.31779865,6.885987292,7.639027445,8.688863981,6.790212807,8.92322505,7.83216654,8.488858586,5.906187065499999,8.649510731,7.7158487104999995,9.727295733,9.68042059,9.761060888,8.611402065,5.091970919,5.3363905670000005,11.48626096,10.80020692,7.924253964,9.6626105,10.7783375,9.2935614235,7.100916075,10.450800675,7.616240447,8.024153099,11.087065752000001,7.29333864,5.888504644,7.394959783,8.755674099,9.889011284,7.4783194155,5.821269055,8.909669065,7.8111007919999995,10.33533419,6.908032337,9.515878044,8.403338293,8.895768205,7.835205506,9.615990526,7.901209307,7.619005336,5.575690372,7.058444406,9.354065499,6.71011354,7.997018775,8.2825149,7.1870067315,6.230157577,6.396656214,7.380540736,6.793131194,9.057516814,9.203201208,6.932812972,7.86121442,6.581253604,10.09644537,9.442396954,6.7085593535,8.119447083,6.621950103,6.3250916165,7.521379001,7.502274867,7.054942657,11.40535586,5.6410173165,9.564990068,9.530595357,ASD
GSM1033114,6.801042357,7.366739225,7.321548482,8.21114955,7.505144226,6.803514297,7.662440760500001,11.10367233,6.267555729,7.903469531,6.97600449,5.76366633,7.865696523,8.254708021,8.144519387,9.431502297,9.546333222,5.8405402245,8.0730182175,11.305685514,9.43483644,11.19062917,10.5037767355,8.503149751,6.784295196,8.679924507,7.575482982,8.314178099,7.381086193,7.009512536,6.074511644,8.707221172,9.783747965,7.962589436,7.1898469095,6.879913351,7.004504789,6.866077612,8.956979207,10.16428624,12.004837295,10.34851078,6.8450124545,7.2228315185,6.177251515,8.705061884,6.451875339,8.781121917,10.43282046,9.13525136,7.087102475,8.906925198333333,9.707282848,6.60896985,7.161031885,9.645118991,8.843947296,10.71999783,8.9684014175,7.458048379,8.7588299165,7.689032478,9.840665334,8.727532013,6.430505486,6.461906730666667,8.801165107,10.2152861725,7.571128248,6.628284451,6.655841169,6.801952626,7.409481432,9.137320494,8.6211746955,10.28720939,7.046611394,7.351229939,8.782468031,6.41536001,8.618264135,7.54495781,8.680341872,5.9599560485000005,8.735884878,7.9042296185000005,9.640115389,9.971499665,10.00800106,8.622750006,5.441738392,5.6599807915,11.37412106,10.40996535,7.344131492,9.21727506,11.31001845,10.095129196,6.73309302,10.37658218,7.614264621,8.346326268,11.09939094,7.592118811,6.091819061,7.433168942,8.747971344,9.615990526,8.050324257,6.418667701,9.2694640735,7.635700412,10.80668255,7.069071775,9.619571494,7.991427079,8.847224048,7.45631534,9.488916643,7.363244037,7.25122959,5.671026353,7.333570168,9.348331014,7.025006388,8.15379794,8.508090239,7.877223566,6.0509365,6.620833856,7.90689875,7.048793094,8.43376373,8.689266512,6.312912198,7.9107117,6.620238003,9.637280403,9.723754992,6.9444270715,8.544218527,6.6639058339999995,6.1841625775,7.519993997,7.368298614,7.546271331,11.0920815,6.0124480165000005,10.14698306,9.832128878,Control
